tag,time,alt,range,V,Vz,LD,pDOH,eff_p
descent,46.935,300,3895.528,83.34,-5.199,16,0,0.8
final,10.714,270,0,53.502,-2.8,7.5,0,0.8
final,10.714,240,0,53.502,-2.8,7.5,0,0.8
final,10.714,210,0,53.502,-2.8,7.5,0,0.8
final,10.714,180,0,53.502,-2.8,7.5,0,0.8
final,10.714,150,0,53.502,-2.8,7.5,0,0.8
final,10.714,120,0,53.502,-2.8,7.5,0,0.8
final,10.714,90,0,53.502,-2.8,7.5,0,0.8
final,10.714,60,0,53.502,-2.8,7.5,0,0.8
final,10.714,30,0,53.502,-2.8,7.5,0,0.8
final,10.714,0,0,53.502,-2.8,7.5,0,0.8
climboutToAlternate,3.639,30,0,63.222,8.245,10.5,0,0.8
climboutToAlternate,3.638,60,0,63.222,8.245,10.5,0,0.8
climboutToAlternate,3.639,90,0,63.222,8.246,10.5,0,0.8
climboutToAlternate,3.638,120,0,63.222,8.246,10.5,0,0.8
climboutToAlternate,3.638,150,0,63.222,8.247,10.5,0,0.8
climboutToAlternate,3.638,180,0,63.222,8.234,10.5,0,0.8
climboutToAlternate,3.643,210,0,63.222,8.215,10.5,0,0.8
climboutToAlternate,3.652,240,0,63.222,8.196,10.5,0,0.8
climboutToAlternate,3.661,270,0,63.222,8.177,10.5,0,0.8
climboutToAlternate,3.669,300,0,63.222,8.158,10.5,0,0.8
climbToAlternate,15.084,435,1241.818,83.34,8.864,16,0,0.8
climbToAlternate,15.23,570,1254.105,83.34,8.778,16,0,0.8
climbToAlternate,15.378,705,1266.631,83.34,8.693,16,0,0.8
climbToAlternate,15.53,840,1279.402,83.34,8.607,16,0,0.8
climbToAlternate,15.685,975,1292.428,83.34,8.522,16,0,0.8
climbToAlternate,15.842,1110,1305.715,83.34,8.436,16,0,0.8
climbToAlternate,16.003,1245,1319.271,83.34,8.35,16,0,0.8
climbToAlternate,16.168,1380,1333.106,83.34,8.264,16,0,0.8
climbToAlternate,16.335,1515,1347.226,83.34,8.179,16,0,0.8
climbToAlternate,16.506,1650,1361.643,83.34,8.093,16,0,0.8
climbToAlternate,16.681,1785,1376.364,83.34,8.007,16,0,0.8
climbToAlternate,16.86,1920,1391.401,83.34,7.921,16,0,0.8
climbToAlternate,17.042,2055,1406.763,83.34,7.836,16,0,0.8
climbToAlternate,17.229,2190,1422.46,83.34,7.75,16,0,0.8
climbToAlternate,17.42,2325,1438.506,83.34,7.664,16,0,0.8
climbToAlternate,17.615,2460,1454.91,83.34,7.578,16,0,0.8
