tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot
climb,54.74,5424,4548.205,83.34,4.322,16.0,0,0.73,17427.16198027775,7.40748102045613,0.0,0.09592114518672369,0.004780763693952089,11550,5000,0.27227828744849886,1630073.9695829577,5986793.823548213
climb,56.452,5668,4691.31,83.34,4.187,16.0,0,0.73,17419.581363127323,7.580617150428185,0.0,0.09714250176251531,0.005000257589207303,11550,5000,0.27069896595215825,1606301.7328984698,5933904.207016285
climb,58.275,5912,4843.679,83.34,4.052,16.0,0,0.73,17411.813140999406,7.768222127916607,0.0,0.0985600674077239,0.0052306110131834435,11550,5000,0.26899024462930515,1582533.3873451832,5883237.102245358
climb,60.22,6156,5006.239,83.34,3.916,16.0,0,0.73,17403.84248262995,7.970658369456517,0.0,0.10015822552179685,0.005474319223959556,11550,5000,0.2671677596164534,1558597.5156112597,5833778.438868469
climb,62.302,6400,5180.05,83.34,3.781,16.0,0,0.73,17395.652118471364,8.190364158585886,0.0,0.10197517334694056,0.005732121975985629,11550,5000,0.2652646748961133,1534835.2529201638,5786052.189275702
climb,64.531,6644,5366.322,83.34,3.646,16.0,0,0.73,17387.225765791936,8.426352679426524,0.0,0.10395869443466264,0.006008133187224234,11550,5000,0.2633321898047441,1511075.0173470967,5738284.4781244965
climb,66.927,6888,5566.446,83.34,3.51,16.0,0,0.73,17378.548235582453,8.677530209483784,0.0,0.10603361792097896,0.00630947693342294,11550,5000,0.26145469112617326,1487145.7202723399,5687967.249188391
climb,69.509,7132,5782.026,83.34,3.375,16.0,0,0.73,17369.605498370514,8.942737211937297,0.0,0.10812883486813181,0.006643227119081908,11550,5000,0.2597703663841381,1463388.2426225445,5633391.764396036
climb,72.299,7376,6014.921,83.34,3.239,16.0,0,0.73,17360.39061379483,9.214884575685529,0.0,0.1100012520383352,0.007025770985073398,11550,5000,0.258477603757133,1439461.3723673117,5568998.441040321
climb,75.322,7620,6267.306,83.34,3.104,16.0,0,0.73,17350.903982133837,9.486631660991996,0.0,0.11140885994919522,0.007474517337660779,11550,5000,0.25783770487233443,1415706.4792040135,5490688.337863484
